moonshotai/Kimi-K2-Instruct | text-generation | public
unsloth/Magistral-Small-2506-GGUF | text-generation | public
CypressYang/SongBloom | - | public
microsoft/CADFusion | - | public
google/videoprism-base-f16r288 | video-classification | public
openbmb/Ultra-FineWeb-classifier | - | public
mlx-community/Jan-nano-8bit | text-generation | public
google/t5gemma-9b-9b-prefixlm-it | text-generation | public
netease-youdao/Confucius3-Math | text-generation | public
Gryphe/Codex-24B-Small-3.2 | - | public
NSFW-API/NSFW_Wan_14b | - | public
onnx-community/Kokoro-82M-v1.1-zh-ONNX | text-to-speech | public
Comfy-Org/flux1-kontext-dev_ComfyUI | - | public
Skywork/Skywork-Reward-V2-Qwen3-0.6B | text-classification | public
ValueFX9507/Tifa-DeepsexV3-14b-GGUF-Q6 | reinforcement-learning | public
tencent/Hunyuan-A13B-Instruct-GPTQ-Int4 | text-generation | public
calcuis/kontext-gguf | image-to-image | public
fal/Youtube-Thumbnails-Kontext-Dev-LoRA | image-to-image | public
LXinyi/FLUX.1-Kontext-dev-RedCraft | - | public
IntervitensInc/pangu-pro-moe-model | text-generation | public
TheDrummer/Cydonia-24B-v4 | - | public
Atotti/Google-USM | feature-extraction | public
unsloth/DeepSeek-TNG-R1T2-Chimera-GGUF | text-generation | public
TheDrummer/Big-Tiger-Gemma-27B-v3-GGUF | - | public
xuminglong/kontext-tryon | - | public
mykor/Midm-2.0-Mini-Instruct-gguf | text-generation | public
mlx-community/DiffuCoder-7B-cpGRPO-8bit | text-generation | public
JarvisArt/JarvisArt-Preview | - | public
Cseti/wan-14b-wallace_and_gromit-style-lora-v1 | text-to-video | public
bartowski/HuggingFaceTB_SmolLM3-3B-GGUF | text-generation | public
unsloth/SmolLM3-3B | text-generation | public
xiaolxl/HXHY-Takeclothes-KontextLoRA | image-to-image | public
bartowski/Skywork_Skywork-R1V3-38B-GGUF | image-text-to-text | public
echo840/MonkeyOCR-pro-1.2B | image-text-to-text | public
gokaygokay/Pencil-Drawing-Kontext-Dev-LoRA | image-to-image | public
bartowski/TheDrummer_Tiger-Gemma-12B-v3-GGUF | image-text-to-text | public
lmstudio-community/Devstral-Small-2507-GGUF | - | public
ICTNLP/StreamUni-Phi4 | audio-text-to-text | public
tencent/Hunyuan-A13B-Instruct-GGUF | - | public
nprak26/IndicLaw-Class | text-classification | public
Zhihu-ai/Zhi-Create-Qwen3-32B-FP8 | text-generation | public
nvidia/NV-EmbedCode-7b-v1 | sentence-similarity | public
Zhihu-ai/Zhi-Create-Qwen3-32B | text-generation | public
mlx-community/Kimi-K2-Instruct-4bit | text-generation | public
unsloth/LFM2-1.2B | text-generation | public
unsloth/Kimi-K2-Base | text-generation | public
mlabonne/LFM2-1.2B-Pirate | text-generation | public
fofr/flux-kontext-dev-ps1-lora | image-to-image | public
google-bert/bert-base-chinese | fill-mask | public
distilbert/distilbert-base-cased-distilled-squad | question-answering | public
distilbert/distilbert-base-uncased-finetuned-sst-2-english | text-classification | public
FacebookAI/xlm-roberta-base | fill-mask | public
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli | zero-shot-classification | public
ProsusAI/finbert | text-classification | public
allenai/longformer-base-4096 | - | public
dslim/bert-base-NER | token-classification | public
facebook/bart-large-cnn | summarization | public
facebook/wav2vec2-base-960h | automatic-speech-recognition | public
microsoft/trocr-base-handwritten | image-to-text | public
uer/gpt2-chinese-cluecorpussmall | text-generation | public
ctheodoris/Geneformer | fill-mask | public
bigscience/bloom | text-generation | public
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7 | zero-shot-classification | public
impira/layoutlm-invoices | document-question-answering | public
umm-maybe/AI-image-detector | image-classification | public
google/flan-t5-large | text-generation | public
nvidia/stt_ru_conformer_transducer_large | automatic-speech-recognition | public
stabilityai/stable-diffusion-2 | text-to-image | public
lj1995/VoiceConversionWebUI | - | public
lllyasviel/ControlNet | - | public
facebook/fasttext-language-identification | text-classification | public
google/deplot | visual-question-answering | public
comfyanonymous/ControlNet-v1-1_fp16_safetensors | - | public
facebook/musicgen-large | text-to-audio | public
stabilityai/stable-diffusion-xl-refiner-1.0 | image-to-image | public
foduucom/stockmarket-pattern-detection-yolov8 | object-detection | public
codellama/CodeLlama-7b-Instruct-hf | text-generation | public
TheBloke/Llama-2-7B-Chat-GGUF | text-generation | public
BAAI/bge-reranker-base | text-classification | public
dima806/facial_emotions_image_detection | image-classification | public
IAHispano/Applio | audio-to-audio | public
stabilityai/sdxl-turbo | text-to-image | public
bigcode/starcoder2-3b | text-generation | public
mistralai/Mixtral-8x7B-v0.1 | text-generation | public
NousResearch/Genstruct-7B | text-generation | public
bigcode/starcoder2-15b | text-generation | public
ByteDance/SDXL-Lightning | text-to-image | public
iitolstykh/mivolo_v2 | image-classification | public
mixedbread-ai/mxbai-embed-large-v1 | feature-extraction | public
ByteDance/AnimateDiff-Lightning | text-to-video | public
capleaf/viXTTS | text-to-speech | public
mistralai/Mixtral-8x22B-Instruct-v0.1 | text-generation | public
microsoft/Phi-3-mini-128k-instruct | text-generation | public
cyberdelia/CyberRealisticPony | text-to-image | public
apple/coreml-detr-semantic-segmentation | image-segmentation | public
mistralai/Mistral-7B-v0.3 | text-generation | public
mistralai/Codestral-22B-v0.1 | text-generation | public
alvdansen/littletinies | text-to-image | public
microsoft/Florence-2-base | image-text-to-text | public
OreX/ComfyUI | - | public
elyza/Llama-3-ELYZA-JP-8B | text-generation | public
KwaiVGI/LivePortrait | image-to-video | public
SciPhi/Triplex | text-generation | public
ZhengPeng7/BiRefNet | image-segmentation | public
meta-llama/Llama-3.1-70B | text-generation | public
meta-llama/Llama-3.1-70B-Instruct | text-generation | public
stabilityai/stable-fast-3d | image-to-3d | public
Alibaba-NLP/gte-multilingual-reranker-base | text-ranking | public
meta-llama/Llama-Guard-3-8B | text-generation | public
microsoft/maira-2 | text-generation | public
Kijai/flux-fp8 | - | public
paige-ai/Virchow2 | image-feature-extraction | public
lllyasviel/flux1-dev-bnb-nf4 | - | public
stepfun-ai/GOT-OCR2_0 | image-text-to-text | public
Qwen/Qwen2.5-1.5B | text-generation | public
Qwen/Qwen2.5-7B | text-generation | public
Qwen/Qwen2.5-14B | text-generation | public
Qwen/Qwen2.5-0.5B-Instruct | text-generation | public
meta-llama/Llama-3.2-11B-Vision | image-text-to-text | public
unsloth/Llama-3.2-3B-Instruct-GGUF | text-generation | public
TheDrummer/Cydonia-22B-v1.2 | - | public
microsoft/OmniParser | image-text-to-text | public
alimama-creative/FLUX.1-Turbo-Alpha | text-to-image | public
Ultralytics/YOLO11 | - | public
AnimaVR/NEUROSYNC | - | public
MahmoodLab/conchv1_5 | image-feature-extraction | public
kotoba-tech/kotoba-whisper-v2.2 | automatic-speech-recognition | public
genmo/mochi-1-preview | text-to-video | public
XLabs-AI/flux-ip-adapter-v2 | image-to-image | public
ai4bharat/indic-parler-tts | text-to-speech | public
xey/sldr_flux_nsfw_v2-studio | text-to-image | public
stabilityai/stable-diffusion-3.5-medium | text-to-image | public
vidore/colpali-v1.3 | visual-document-retrieval | public
DavidAU/Maximizing-Model-Performance-All-Quants-Types-And-Full-Precision-by-Samplers_Parameters | - | public
lldacing/flash-attention-windows-wheel | - | public
haywoodsloan/ai-image-detector-deploy | image-classification | public
mradermacher/MN-Violet-Lotus-12B-GGUF | - | public
strangerzonehf/Flux-Ultimate-LoRA-Collection | text-to-image | public
apple/DepthPro-hf | depth-estimation | public
hkchengrex/MMAudio | - | public
Comfy-Org/HunyuanVideo_repackaged | - | public
amphion/Vevo | text-to-speech | public
tomg-group-umd/huginn-0125 | text-generation | public
5CD-AI/Vintern-1B-v3_5 | image-text-to-text | public
jinaai/ReaderLM-v2 | text-generation | public
HuggingFaceTB/SmolVLM-256M-Instruct | image-text-to-text | public
deepseek-ai/DeepSeek-R1-Zero | text-generation | public
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B | text-generation | public
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B | text-generation | public
AlicanKiraz0/Cybersecurity-BaronLLM_Offensive_Security_LLM_Q6_K_GGUF | text-generation | public
Qwen/Qwen2.5-7B-Instruct-1M | text-generation | public
mistralai/Mistral-Small-24B-Instruct-2501 | text-generation | public
stelterlab/Mistral-Small-24B-Instruct-2501-AWQ | text-generation | public
microsoft/MediPhi | text-generation | public
Comfy-Org/Lumina_Image_2.0_Repackaged | - | public
HuggingFaceTB/SmolVLM2-500M-Video-Instruct | image-text-to-text | public
arcinstitute/evo2_40b | - | public
syntheticbot/ocr-qwen | - | public
google/siglip2-so400m-patch14-384 | zero-shot-image-classification | public
stabilityai/stable-virtual-camera | image-to-video | public
Wan-AI/Wan2.1-I2V-14B-480P | image-to-video | public
Wan-AI/Wan2.1-T2V-1.3B | text-to-video | public
city96/Wan2.1-I2V-14B-720P-gguf | image-to-video | public
Wan-AI/Wan2.1-T2V-1.3B-Diffusers | text-to-video | public
CohereLabs/aya-vision-8b | image-text-to-text | public
mixedbread-ai/mxbai-rerank-base-v2 | text-ranking | public
mims-harvard/TxAgent-T1-Llama-3.1-8B | text-generation | public
nvidia/GR00T-N1-2B | robotics | public
silveroxides/Chroma-LoRA-Experiments | - | public
VIZINTZOR/F5-TTS-THAI | text-to-speech | public
jameslahm/yoloe | object-detection | public
unsloth/gemma-3-1b-it-GGUF | text-generation | public
nvidia/Llama-3_3-Nemotron-Super-49B-v1 | text-generation | public
Kaoru8/T5XXL-Unchained | - | public
microsoft/TRELLIS-text-xlarge | text-to-3d | public
unsloth/DeepSeek-V3-0324-GGUF | text-generation | public
IndexTeam/Index-TTS | text-to-speech | public
Salesforce/Llama-xLAM-2-8b-fc-r | text-generation | public
Raymond-dev-546730/Research-Reasoner-7B-v0.3 | - | public
gia-uh/cecilia-2b-v0.1 | text-generation | public
agentica-org/DeepCoder-14B-Preview | text-generation | public
THUDM/GLM-4-32B-0414 | text-generation | public
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1 | text-generation | public
VAST-AI/UniRig | - | public
microsoft/Phi-4-reasoning | text-generation | public
neurlang/ipa-whisper-base | automatic-speech-recognition | public
nvidia/Llama-4-Scout-17B-16E-Instruct-FP8 | - | public
fjmgAI/rerank1-210M-EuroBERT | text-ranking | public
nvidia/Cosmos-Reason1-7B | image-to-text | public
naver-hyperclovax/HyperCLOVAX-SEED-Text-Instruct-1.5B | - | public
meta-llama/Llama-Guard-4-12B | image-text-to-text | public
Qwen/Qwen3-8B-Base | text-generation | public
Qwen/Qwen3-0.6B-Base | text-generation | public
meta-llama/Llama-Prompt-Guard-2-86M | text-classification | public
unsloth/Qwen3-4B-GGUF | text-generation | public
unsloth/Qwen3-1.7B-GGUF | text-generation | public
JetBrains/Mellum-4b-base | text-generation | public
ibm-granite/granite-speech-3.3-2b | automatic-speech-recognition | public
qihoo360/fg-clip-large | zero-shot-image-classification | public
Goekdeniz-Guelmez/Josiefied-Qwen3-8B-abliterated-v1 | text-generation | public
Qwen/Qwen2.5-Omni-3B | any-to-any | public
ibm-granite/granite-4.0-tiny-base-preview | text-generation | public
burtenshaw/Qwen3-30B-A3B-python-coder | text-generation | public
lightonai/GTE-ModernColBERT-v1 | sentence-similarity | public
darkc0de/XortronCriminalComputingConfig | text-generation | public
Qwen/Qwen3-32B-AWQ | text-generation | public
lusxvr/nanoVLM-222M | image-text-to-text | public
tiiuae/Falcon-H1-1.5B-Instruct | text-generation | public
mradermacher/XortronCriminalComputingConfig-GGUF | - | public
Qwen/Qwen3-4B-AWQ | text-generation | public
ByteDance/DreamO | - | public
MCCPBR/EAGLE | - | public
Intelligent-Internet/II-Medical-8B | text-generation | public
IndexTeam/IndexTTS-1.5 | - | public
Wan-AI/Wan2.1-VACE-1.3B | image-to-video | public
tiiuae/Falcon-H1-34B-Instruct-GGUF | - | public
scb10x/typhoon-ocr-7b | image-to-text | public
onnx-community/FastVLM-0.5B-ONNX | image-text-to-text | public
Qwen/WorldPM-72B | text-classification | public
laion/Empathic-Insight-Voice-Small | - | public
samuelchristlie/Wan2.1-T2V-1.3B-GGUF | text-to-video | public
slprl/PAST | - | public
unsloth/medgemma-27b-text-it-GGUF | image-text-to-text | public
neta-art/NetaLumina_Alpha | - | public
Snowflake/Arctic-Text2SQL-R1-7B | - | public
bartowski/PocketDoc_Dans-PersonalityEngine-V1.3.0-24b-GGUF | text-generation | public
Kamikaze-88/Wan2.1-VACE-14B-fp8 | - | public
Raymond-dev-546730/MaterialsAnalyst-AI-7B | - | public
unsloth/DeepSeek-R1-0528-GGUF | text-generation | public
nvidia/Nemotron-Research-Reasoning-Qwen-1.5B | text-generation | public
microsoft/MediPhi-MedCode | text-generation | public
unsloth/DeepSeek-R1-0528-Qwen3-8B-unsloth-bnb-4bit | text-generation | public
huihui-ai/DeepSeek-R1-0528-Qwen3-8B-abliterated | text-generation | public
BAAI/Video-XL-2 | video-text-to-text | public
amd/Nitro-T-1.2B | text-to-image | public
ArliAI/DS-R1-Qwen3-8B-ArliAI-RpR-v4-Small | text-generation | public
PaddlePaddle/PP-OCRv5_server_rec | image-to-text | public
Wan-AI/Wan2.1-VACE-14B-diffusers | image-to-video | public
Wan-AI/Wan2.1-VACE-1.3B-diffusers | image-to-video | public
futurehouse/ether0 | text-generation | public
PaddlePaddle/PP-DocLayout_plus-L | image-to-text | public
tomaarsen/Qwen3-Reranker-0.6B-seq-cls | text-ranking | public
QuantStack/Wan2.1_T2V_14B_FusionX-GGUF | text-to-video | public
PosterCraft/PosterCraft-v1_RL | text-to-image | public
nvidia/Riva-Translate-4B-Instruct | text-generation | public
gdhe17/Self-Forcing | text-to-video | public
Skywork/Skywork-SWE-32B | text-generation | public
QuixiAI/Qwen3-58B-Embiggened | - | public
google/gemma-3n-E2B | image-text-to-text | public
moca-embed/MoCa-Qwen25VL-3B | zero-shot-image-classification | public
calcuis/openaudio-gguf | text-to-speech | public
openbmb/BitCPM4-1B-GGUF | text-generation | public
thunder-research-group/Llama-Thunder-LLM-8B | - | public
unsloth/Nanonets-OCR-s-GGUF | image-text-to-text | public
nvidia/AceReason-Nemotron-1.1-7B | text-generation | public
unsloth/Kimi-Dev-72B-GGUF | - | public
kyutai/stt-1b-en_fr | automatic-speech-recognition | public
malcolmrey/flux | - | public
google/t5gemma-2b-2b-prefixlm | text-generation | public
google/t5gemma-9b-9b-ul2 | text-generation | public
google/t5gemma-9b-9b-ul2-it | text-generation | public
google/t5gemma-9b-2b-ul2-it | text-generation | public
google/t5gemma-s-s-prefixlm-it | text-generation | public
google/t5gemma-xl-xl-prefixlm-it | text-generation | public
BytedTsinghua-SIA/RL-MemoryAgent-7B | - | public
mradermacher/Huihui-MoE-5B-A1.7B-abliterated-GGUF | - | public
microsoft/Phi-mini-MoE-instruct | text-generation | public
zerofata/MS3.2-PaintedFantasy-24B | text-generation | public
prithivMLmods/Camel-Doc-OCR-062825 | image-text-to-text | public
MASWorks/MAS-GPT-32B | text-generation | public
Skywork/Skywork-Reward-V2-Qwen3-4B | text-classification | public
Skywork/Skywork-Reward-V2-Llama-3.2-1B | text-classification | public
Skywork/Skywork-Reward-V2-Llama-3.1-8B-40M | text-classification | public
KurmaAI/AQUA-1B | text-generation | public
tencent/Hunyuan-A13B-Pretrain | text-generation | public
QuixiAI/QuixiGR00T-N1.5-3B-Zero | - | public
baidu/ERNIE-4.5-VL-424B-A47B-Base-PT | image-text-to-text | public
TheDrummer/Tiger-Gemma-12B-v3-GGUF | - | public
orabazes/depth_lora_kontext | - | public
ghost233lism/DepthAnything-AC | depth-estimation | public
bullerwins/Hunyuan-A13B-Instruct-GGUF | - | public
svjack/Kontext_OmniConsistency_lora | - | public
mlx-community/DeepSeek-R1-0528-5bit | text-generation | public
HaochenWang/TreeVGR-7B | image-text-to-text | public
candra/blip-image-captioning-finetuned | image-text-to-text | public
jinaai/jina-embeddings-v4-vllm-retrieval | visual-document-retrieval | public
Tengyunw/qwen3_8b_eagle3 | - | public
ByteDance-Seed/Tar-TA-Tok | - | public
zerofata/MS3.2-PaintedFantasy-Visage-33B | text-generation | public
huihui-ai/Huihui-Mistral-Small-3.2-24B-Instruct-2506-abliterated | image-text-to-text | public
unsloth/DeepSeek-TNG-R1T2-Chimera | text-generation | public
karakuri-ai/karakuri-vl-32b-instruct-2507 | image-text-to-text | public
lmstudio-community/DeepSWE-Preview-GGUF | text-generation | public
Kontext-Style/Rick_Morty_lora | image-to-image | public
prithivMLmods/Spiral-Qwen3-4B-F32-GGUF | text-generation | public
Delta-Vector/GLM-4-32B-Tulu-Instruct | text-generation | public
ReadyArt/MS3.2-The-Omega-Directive-24B-Unslop-v2.0 | text-generation | public
cagrigungor/urun-kategori-classifier | - | public
huihui-ai/Huihui-gemma-3n-E4B-it-abliterated | image-text-to-text | public
AIDC-AI/UNIC-Adapter | - | public
PSNbst/Kontext-FaceBack | - | public
2F-AI/Titan-Atom | text-generation | public
gabriellarson/Hunyuan-A13B-Instruct-GGUF | - | public
hanzogak/comradeshipSD | text-to-image | public
stelterlab/NextCoder-32B-AWQ | text-generation | public
allenai/Flex-public-7B-1T | - | public
opencompass/CompassVerifier-7B | - | public
gokaygokay/Oil-Paint-Kontext-Dev-LoRA | image-to-image | public
lym00/comfyui_nunchaku_lora_patch | - | public
TheDrummer/Snowpiercer-15B-v2-GGUF | - | public
pfnet/plamo-2.1-2b-cpt | text-generation | public
unsloth/Falcon-H1-7B-Instruct-GGUF | - | public
dong625/kontext_loras | - | public
unsloth/Devstral-Small-2507 | text-generation | public
unsloth/Devstral-Small-2507-unsloth-bnb-4bit | text-generation | public
LiquidAI/LFM2-Tokenizer | - | public
bartowski/microsoft_NextCoder-32B-GGUF | text-generation | public
tomaarsen/LFM2-350M-nq-prompts | sentence-similarity | public
mradermacher/reka-flash-3.1-GGUF | - | public
Goekdeniz-Guelmez/SmolLM3-3B-gabliterated | - | public
mlx-community/Kimi-Dev-72B-5bit | text-generation | public
cartesia-ai/hnet_1stage_L | - | public
DevQuasar/moonshotai.Kimi-K2-Instruct-BF16 | - | public
wgsxm/PartCrafter | image-to-3d | public
bartowski/google_medgemma-4b-it-GGUF | image-text-to-text | public
bartowski/google_medgemma-27b-it-GGUF | image-text-to-text | public
gabriellarson/Kimi-K2-Instruct-GGUF | - | public
fofr/flux-kontext-dev-jpeg-compression-fix-lora | image-to-image | public
Heartsync/Flux-NSFW-uncensored | text-to-image | public
openai-community/gpt2-large | text-generation | public
openai-community/openai-gpt | text-generation | public
FacebookAI/roberta-base | fill-mask | public
google-t5/t5-small | translation | public
DeepPavlov/rubert-base-cased | feature-extraction | public
EleutherAI/gpt-neo-2.7B | text-generation | public
alexyalunin/RuBioRoBERTa | fill-mask | public
allenai/scibert_scivocab_uncased | - | public
cross-encoder/ms-marco-MiniLM-L6-v2 | text-ranking | public
csebuetnlp/mT5_multilingual_XLSum | summarization | public
dbmdz/bert-base-turkish-uncased | - | public
dbmdz/bert-large-cased-finetuned-conll03-english | token-classification | public
deepset/roberta-base-squad2 | question-answering | public
facebook/contriever-msmarco | feature-extraction | public
google/mt5-large | text-generation | public
google/pegasus-xsum | summarization | public
hfl/chinese-roberta-wwm-ext | fill-mask | public
m3rg-iitd/matscibert | fill-mask | public
microsoft/DialoGPT-small | text-generation | public
microsoft/codebert-base | feature-extraction | public
microsoft/deberta-v3-base | fill-mask | public
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis | text-classification | public
nvidia/segformer-b0-finetuned-ade-512-512 | image-segmentation | public
pyannote/voice-activity-detection | automatic-speech-recognition | public
sentence-transformers/distiluse-base-multilingual-cased-v2 | sentence-similarity | public
sentence-transformers/sentence-t5-base | sentence-similarity | public
speechbrain/sepformer-wsj02mix | audio-to-audio | public
sshleifer/distilbart-cnn-12-6 | summarization | public
uer/roberta-base-finetuned-jd-binary-chinese | text-classification | public
nielsr/layoutlmv3-finetuned-funsd | token-classification | public
facebook/nllb-200-3.3B | translation | public
nvidia/speakerverification_en_titanet_large | - | public
naver-clova-ix/donut-base | image-to-text | public
impira/layoutlm-document-qa | document-question-answering | public
CompVis/stable-diffusion-v-1-4-original | text-to-image | public
laion/CLIP-ViT-B-32-laion2B-s34B-b79K | zero-shot-image-classification | public
SamLowe/roberta-base-go_emotions | text-classification | public
openai/whisper-base | automatic-speech-recognition | public
openai/whisper-small | automatic-speech-recognition | public
openai/whisper-tiny.en | automatic-speech-recognition | public
stabilityai/sd-vae-ft-mse-original | text-to-image | public
microsoft/table-transformer-detection | object-detection | public
prompthero/openjourney | text-to-image | public
microsoft/biogpt | text-generation | public
stabilityai/stable-diffusion-2-base | text-to-image | public
stabilityai/stable-diffusion-x4-upscaler | - | public
stabilityai/stable-diffusion-2-1 | text-to-image | public
alvanlii/whisper-small-cantonese | automatic-speech-recognition | public
prompthero/openjourney-v4 | text-to-image | public
riffusion/riffusion-model-v1 | text-to-audio | public
Salesforce/blip-image-captioning-large | image-to-text | public
stanford-crfm/BioMedLM | text-generation | public
timbrooks/instruct-pix2pix | image-to-image | public
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k | zero-shot-image-classification | public
lllyasviel/sd-controlnet-openpose | image-to-image | public
lllyasviel/Annotators | - | public
cerebras/Cerebras-GPT-111M | text-generation | public
medicalai/ClinicalBERT | fill-mask | public
stabilityai/stable-diffusion-2-1-unclip | text-to-image | public
microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224 | zero-shot-image-classification | public
stablediffusionapi/anything-v5 | text-to-image | public
bigcode/starcoder | text-generation | public
FacehugmanIII/4x_foolhardy_Remacri | - | public
lllyasviel/control_v11f1e_sd15_tile | image-to-image | public
mosaicml/mpt-7b | text-generation | public
rinna/japanese-gpt-neox-3.6b-instruction-sft | text-generation | public
intfloat/multilingual-e5-base | sentence-similarity | public
facebook/mms-1b-all | automatic-speech-recognition | public
openlm-research/open_llama_3b | text-generation | public
stabilityai/sdxl-vae | - | public
cerspense/zeroscope_v2_576w | text-to-video | public
colbert-ir/colbertv2.0 | - | public
intfloat/multilingual-e5-small | sentence-similarity | public
Kernel/sd-nsfw | text-to-image | public
facebook/dinov2-large | image-feature-extraction | public
guoyww/animatediff | - | public
JackFram/llama-68m | text-generation | public
thenlper/gte-small | sentence-similarity | public
lmsys/vicuna-7b-v1.5 | text-generation | public
nerijs/pixel-art-xl | text-to-image | public
goofyai/3d_render_style_xl | text-to-image | public
h94/IP-Adapter | text-to-image | public
codellama/CodeLlama-13b-Instruct-hf | text-generation | public
TheBloke/CodeLlama-7B-Instruct-GGUF | text-generation | public
Lykon/dreamshaper-7 | text-to-image | public
TheBloke/MythoMax-L2-13B-GGUF | - | public
foduucom/web-form-ui-field-detection | object-detection | public
TheBloke/Chronos-Hermes-13b-v2-GGUF | - | public
bdsqlsz/qinglong_controlnet-lllite | - | public
TheBloke/WizardLM-7B-uncensored-GGUF | - | public
mychen76/invoice-and-receipts_donut_v1 | image-to-text | public
IDEA-Research/grounding-dino-base | zero-shot-object-detection | public
SnypzZz/Llama2-13b-Language-translate | text-generation | public
liuhaotian/llava-v1.5-7b | image-text-to-text | public
liuhaotian/llava-v1.5-13b | image-text-to-text | public
teknium/Mistral-Trismegistus-7B | text-generation | public
HuggingFaceH4/zephyr-7b-beta | text-generation | public
Isotonic/distilbert_finetuned_ai4privacy_v2 | token-classification | public
TheBloke/MythoMist-7B-GGUF | - | public
Systran/faster-whisper-large-v3 | automatic-speech-recognition | public
LykosAI/GPT-Prompt-Expansion-Fooocus-v2 | text-generation | public
Qwen/Qwen-Audio | text-generation | public
llava-hf/llava-1.5-7b-hf | image-text-to-text | public
meta-llama/LlamaGuard-7b | text-generation | public
ResembleAI/resemble-enhance | audio-to-audio | public
state-spaces/mamba-2.8b-slimpj | - | public
upstage/SOLAR-10.7B-Instruct-v1.0 | text-generation | public
briaai/RMBG-1.4 | image-segmentation | public
intfloat/e5-mistral-7b-instruct | feature-extraction | public
Acly/Omni-SR | - | public
deepseek-ai/deepseek-moe-16b-chat | text-generation | public
segolilylabs/Lily-Cybersecurity-7B-v0.2 | text-generation | public
Salesforce/SFR-Embedding-Mistral | feature-extraction | public
nashikone/iroiroLoRA | - | public
Ultralytics/YOLOv8 | object-detection | public
deepseek-ai/deepseek-math-7b-instruct | text-generation | public
Xenova/modnet | image-segmentation | public
intfloat/multilingual-e5-large-instruct | feature-extraction | public
CohereLabs/aya-101 | text-generation | public
google/gemma-7b-it | text-generation | public
TRI-ML/prismatic-vlms | image-to-text | public
nomic-ai/nomic-embed-text-v1.5-GGUF | sentence-similarity | public
RunDiffusion/Juggernaut-XL-v9 | text-to-image | public
levihsu/OOTDiffusion | - | public
qualcomm/Real-ESRGAN-x4plus | image-to-image | public
dyyyyyyyy/GNER-T5-xxl | text-generation | public
bilalRahib/TinyLLama-NSFW-Chatbot | text-generation | public
ministral/Ministral-3b-instruct | text-generation | public
yisol/IDM-VTON | image-to-image | public
CohereLabs/c4ai-command-r-plus | text-generation | public
bartowski/codegemma-2b-GGUF | text-generation | public
EmergentMethods/gliner_medium_news-v2.1 | token-classification | public
meta-llama/Meta-Llama-3-70B | text-generation | public
meta-llama/Meta-Llama-3-70B-Instruct | text-generation | public
MaziyarPanahi/Meta-Llama-3-8B-Instruct-GGUF | text-generation | public
aaditya/Llama3-OpenBioLLM-8B | text-generation | public
DavidAU/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1-Q6_K-GGUF | text-generation | public
FinLang/finance-embeddings-investopedia | sentence-similarity | public
Orenguteng/Llama-3-8B-Lexi-Uncensored-GGUF | - | public
aaditya/Llama3-OpenBioLLM-70B | text-generation | public
MLP-KTLim/llama-3-Korean-Bllossom-8B | text-generation | public
numind/NuNER_Zero | token-classification | public
mo-thecreator/vit-Facial-Expression-Recognition | image-classification | public
amazon/Titan-text-embeddings-v2 | feature-extraction | public
google/paligemma-3b-pt-224 | image-text-to-text | public
xinsir/controlnet-openpose-sdxl-1.0 | text-to-image | public
microsoft/rad-dino | image-feature-extraction | public
Mitsua/elan-mt-tiny-en-ja | translation | public
prov-gigapath/prov-gigapath | image-feature-extraction | public
jinaai/jina-clip-v1 | feature-extraction | public
mlabonne/NeuralDaredevil-8B-abliterated | text-generation | public
nomic-ai/nomic-embed-vision-v1.5 | image-feature-extraction | public
THUDM/glm-4-9b | text-generation | public
gerturax/gerturax-3 | - | public
deepseek-ai/DeepSeek-Coder-V2-Instruct | text-generation | public
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct | text-generation | public
Salesforce/SFR-Embedding-2_R | feature-extraction | public
microsoft/Florence-2-large-ft | image-text-to-text | public
microsoft/Florence-2-base-ft | image-text-to-text | public
bartowski/DeepSeek-Coder-V2-Lite-Instruct-GGUF | text-generation | public
google/gemma-2-27b-it | text-generation | public
Lajavaness/bilingual-embedding-large | sentence-similarity | public
ds4sd/docling-models | - | public
FunAudioLLM/SenseVoiceSmall | - | public
openfoodfacts/nutriscore-yolo | object-detection | public
5CD-AI/Vietnamese-Sentiment-visobert | text-classification | public
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill | feature-extraction | public
unsloth/Mistral-Nemo-Instruct-2407-bnb-4bit | text-generation | public
llava-hf/llama3-llava-next-8b-hf | image-text-to-text | public
hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4 | text-generation | public

Всего моделей: 1000
